,Unnamed: 0,Unnamed: 0.1,casenumber,counts,day,hour,lat,location,lon,minute,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year
14,1,1.0,2017-00111938,1,25,12,-71.4381505,88 Ellery St,41.81067575,50,10,Traffic Violation,2017-10-25 12:50:00,MMena-Torres,31-3-1,Parking or MV Violation,2017
15,2,5.0,2017-00112135,1,25,20,41.8367646,539 Smith St,-71.4291035,30,10,Weapons,2017-10-25 20:30:29,VPazzetta,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2017
16,3,6.0,2017-00119459,1,13,9,41.7986237,960 Broad St,-71.41445859999997,6,11,Vandalism,2017-11-13 09:06:59,RChin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017
17,4,7.0,2017-00130714,1,13,21,41.8168094,111 Merino St,-71.45828409999999,47,12,Traffic Violation,2017-12-13 21:47:00,CVingi,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017
18,5,9.0,2018-00007969,1,23,15,41.8514430594,10 Monticello St,-71.421417835,28,1,Weapons,2018-01-23 15:28:00,ZSilbert,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018
19,6,10.0,2018-00007969,1,23,15,-71.421417835,10 Monticello St,41.8514430594,28,1,Weapons,2018-01-23 15:28:00,ZSilbert,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018
20,7,2.0,2018-00014529,1,10,10,41.836975,188 Douglas Ave,-71.4223542,35,2,Larceny from Motor Vehicle,2018-02-10 10:35:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2018
21,8,8.0,2018-00020122,1,25,16,41.8346874,825 Chalkstone Ave,-71.43507659999999,33,2,Larceny from Building,2018-02-25 16:33:00,GScarcello,11-41-1,LARCENY/U $1500 - FROM BLD,2018
22,9,11.0,2018-00020134,1,25,17,,Bridgham St At Cranston St,,14,2,Traffic Violation,2018-02-25 17:14:00,MTroia,31-3-1,Operation of Unregistered Vehicle,2018
23,10,3.0,2018-00020241,1,26,0,41.8204462506,21 Middleton St,-71.4669756255,25,2,"Assault, Simple",2018-02-26 00:25:00,PCaminero,11-5-3,SIMPLE ASSAULT/BATTERY,2018
24,11,4.0,2018-00020241,1,26,0,-71.4669756255,21 Middleton St,41.8204462506,25,2,"Assault, Simple",2018-02-26 00:25:00,PCaminero,11-5-3,SIMPLE ASSAULT/BATTERY,2018
25,12,12.0,2018-00025915,1,13,11,41.8077324,147 Althea St,-71.4342523,55,3,Burglary,2018-03-13 11:55:02,TGomes,11-8-1,BURGLARY,2018
26,13,0.0,2018-00031651,1,30,1,41.7953255469559,666 Prairie Ave,-71.41032879863991,21,3,Disorderly Conduct,2018-03-30 01:21:00,MVoyer,11-45-1,DISORDERLY CONDUCT,2018
27,14,1.0,2018-00031651,1,30,1,41.7953255469559,666 Prairie Ave,-71.41032879863991,21,3,RI Statute Violation,2018-03-30 01:21:00,MVoyer,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018
28,15,2.0,2018-00031647,1,30,1,,Broadway  At Harris Ave,,1,3,Municipal Code Violation,2018-03-30 01:01:00,MGuerra,Sec. 16-3.G,Disorderly Conduct G - Urine in public,2018
29,16,3.0,2018-00031647,1,30,1,,Broadway  At Harris Ave,,1,3,Vandalism,2018-03-30 01:01:00,MGuerra,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
30,17,4.0,2018-00031633,1,30,0,,Manton Aveatgreenwood St ,,19,3,"Assault, Simple",2018-03-30 00:19:00,JNajarian,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
31,18,5.0,2018-00031634,0,30,0,41.832843629986,7 Winthrop Ave,-71.45128614511009,18,3,Juvenile Matter,2018-03-30 00:18:30,SRomano,Not Used,No violations,2018
32,19,6.0,2018-00031632,1,30,0,41.8472119742643,435 Charles St,-71.4193373730367,13,3,Vandalism,2018-03-30 00:13:00,SFernandez,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
33,20,7.0,2018-00031624,1,29,23,41.8290542,235 Meeting St,-71.4004494,53,3,Vandalism,2018-03-29 23:53:00,JPineau,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
34,21,8.0,2018-00031616,1,29,23,41.834634,85 Victoria St,-71.45457971428571,28,3,Vandalism,2018-03-29 23:28:00,ESilva,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2018
35,22,9.0,2018-00031616,1,29,23,41.834634,85 Victoria St,-71.45457971428571,28,3,Burglary,2018-03-29 23:28:00,ESilva,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018
36,23,10.0,2018-00031602,1,29,22,4.616074,Frances Street ,-54.4193434,26,3,Disorderly Conduct,2018-03-29 22:26:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018
37,24,11.0,2018-00031601,1,29,22,41.8187739,36 Wickenden St ,-71.40172220000002,21,3,Vandalism,2018-03-29 22:21:22,SSage,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
38,25,12.0,2018-00031601,1,29,22,41.8187739,36 Wickenden St ,-71.40172220000002,21,3,Larceny from Motor Vehicle,2018-03-29 22:21:22,SSage,11-41-1,LARCENY/O $1500 - FROM MV,2018
39,26,13.0,2018-00031580,1,29,20,,Atwells Ave At Bradford St,,23,3,Traffic Violation,2018-03-29 20:23:00,RHeaton,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018
40,27,14.0,2018-00031579,1,29,20,41.8345851538462,640 Chalkstone Ave,-71.4279267692308,22,3,Burglary,2018-03-29 20:22:00,YGonzalez,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018
41,28,15.0,2018-00031575,0,29,19,41.8094096666667,58 Union Ave,-71.4375453333333,48,3,Request for Assistance,2018-03-29 19:48:00,Central Station,Not Used,No violations,2018
42,29,16.0,2018-00031572,0,29,19,41.8160811459011,3 Edna St,-71.4451574628461,38,3,Request for Assistance,2018-03-29 19:38:00,Central Station,Not Used,No violations,2018
43,30,17.0,2018-00031574,1,29,19,41.8174597391304,282 Hartford Ave,-71.4527230434783,33,3,Vandalism,2018-03-29 19:33:00,KMelfi,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2018
44,31,18.0,2018-00031574,1,29,19,41.8174597391304,282 Hartford Ave,-71.4527230434783,33,3,Disorderly Conduct,2018-03-29 19:33:00,KMelfi,11-45-1,DISORDERLY CONDUCT,2018
45,32,19.0,2018-00031571,1,29,19,41.8065026,423 Union Ave,-71.45172109999999,31,3,Municipal Code Violation,2018-03-29 19:31:00,Central Station,Sec. 16-3.C,Disorderly Conduct C - Fighting Words,2018
46,33,20.0,2018-00031569,1,29,19,41.8204152,13 Florence St,-71.4464656,10,3,"Assault, Simple",2018-03-29 19:10:00,GSion,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
47,34,21.0,2018-00031569,1,29,19,41.8204152,13 Florence St,-71.4464656,10,3,RI Statute Violation,2018-03-29 19:10:00,GSion,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018
48,35,22.0,2018-00031569,1,29,19,41.8204152,13 Florence St,-71.4464656,10,3,RI Statute Violation,2018-03-29 19:10:00,GSion,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018
49,36,23.0,2018-00031562,1,29,18,41.8005505,26 Congress Ave,-71.4189123,48,3,Larceny from Motor Vehicle,2018-03-29 18:48:00,RByfield,11-41-1,LARCENY/U $1500 - FROM MV,2018
50,37,24.0,2018-00031570,1,29,18,41.84904279999999,649 Admiral St,-71.43802059999999,46,3,Motor Vehicle Theft,2018-03-29 18:46:00,JDoucette,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018
51,38,25.0,2018-00031559,1,29,18,41.7901985714286,15 Delmar Street ,-71.42851071428571,37,3,"Fraud, Swindle",2018-03-29 18:37:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018
52,39,26.0,2018-00031544,0,29,18,41.8536621,939 Douglas Ave,-71.43751429999998,4,3,Missing Persons,2018-03-29 18:04:00,Central Station,Not Used,No violations,2018
53,40,27.0,2018-00031530,0,29,17,41.8082854,58 Dartmouth Ave,-71.4228703,29,3,Missing Persons,2018-03-29 17:29:00,Central Station,Not Used,No violations,2018
54,41,28.0,2018-00031525,1,29,17,41.8088671,279 Dexter St,-71.428297,18,3,Municipal Code Violation,2018-03-29 17:18:00,LPelaez,Sec. 16-3.E,Disorderly Conduct E - Assemble to cause a fight,2018
55,42,29.0,2018-00031525,1,29,17,41.8088671,279 Dexter St,-71.428297,18,3,Traffic Violation,2018-03-29 17:18:00,LPelaez,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018
56,43,30.0,2018-00031521,0,29,16,41.8048881255195,75 Moore St,-71.4226496068633,52,3,Lost Article,2018-03-29 16:52:00,Central Station,Not Used,No violations,2018
57,44,31.0,2018-00031517,1,29,16,41.8310703,233 Butler Ave,-71.38430670000002,38,3,Burglary,2018-03-29 16:38:00,MCastillo,11-8-1,BURGLARY,2018
58,45,32.0,2018-00031514,1,29,16,41.812486,34 Gilmore St,-71.42634840000002,26,3,Traffic Violation,2018-03-29 16:26:00,MTroia,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018
59,46,33.0,2018-00031515,1,29,16,41.8116842727273,120 Wilson St,-71.42750728409091,24,3,"Assault, Simple",2018-03-29 16:24:00,TLambert,11-5-3,SIMPLE ASSAULT/BATTERY,2018
60,47,34.0,2018-00031501,1,29,15,41.8126065,301 Cranston St,-71.4305207,56,3,"Assault, Aggravated",2018-03-29 15:56:00,LMarroquin,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018
61,48,35.0,2018-00031501,1,29,15,41.8134113,301 Cranston St,-71.4289455,56,3,"Assault, Aggravated",2018-03-29 15:56:00,LMarroquin,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018
62,49,36.0,2018-00031494,0,29,15,41.8181485,287 Carpenter St,-71.42848225,52,3,Lost Article,2018-03-29 15:52:00,Central Station,Not Used,No violations,2018
63,50,37.0,2018-00031496,1,29,15,41.827677,1 Providence Pl,-71.4166245,48,3,Tresspassing,2018-03-29 15:48:00,GKue,11-44-28,TRESPASS UPON PREMISES/PRIVATE REC. FACILITIES,2018
64,51,38.0,2018-00031492,1,29,15,41.8073265,598 Cranston St,-71.4352985,38,3,Robbery,2018-03-29 15:38:00,LPelaez,11-39-1,ROBBERY-1ST DEGREE,2018
65,52,39.0,2018-00031491,1,29,15,41.834612,721 Chalkstone Ave,-71.4315368,36,3,Disorderly Conduct,2018-03-29 15:36:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018
66,53,40.0,2018-00031490,1,29,15,41.824344,27 Salmon St,-71.454654,30,3,"Fraud, Credit Card",2018-03-29 15:30:00,KMelfi,11-49-4,FRAUDULENT USE OF CREDIT CARDS,2018
67,54,41.0,2018-00031481,1,29,15,41.8456097,354 Admiral St,-71.4280172,1,3,"Larceny, Other",2018-03-29 15:01:00,KRichards,11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,2018
68,55,42.0,2018-00031478,0,29,14,41.794018478260895,159 Sackett St,-71.419292,50,3,Juvenile Matter,2018-03-29 14:50:00,JSmith,Not Used,No violations,2018
69,56,43.0,2018-00031464,1,29,14,41.845357845413105,31 Grape ,-71.4301596581105,33,3,Drug Offenses,2018-03-29 14:33:00,JBlack,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018
70,57,44.0,2018-00031473,1,29,14,41.8454616285714,345 Blackstone Blvd,-71.38659511428571,29,3,"Assault, Simple",2018-03-29 14:29:00,DCastigliego,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
71,58,45.0,2018-00031440,1,29,12,,Brown St At Benevolent St,,57,3,Drug Offenses,2018-03-29 12:57:00,FMoody,21-28-4.01-C1B,POSSESSION OF MARIJUANA-SUB OFFENSE,2018
72,59,46.0,2018-00031435,1,29,12,41.8529367,53 Russo St,-71.4209187,28,3,Vandalism,2018-03-29 12:28:33,MTella,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
73,60,47.0,2018-00031435,1,29,12,41.8529367,53 Russo St,-71.4209187,28,3,"Assault, Aggravated",2018-03-29 12:28:33,MTella,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018
74,61,48.0,2018-00031433,0,29,12,41.824045299999995,25 Dorrance St,-71.4128578,27,3,Suspicious Person,2018-03-29 12:27:54,RPiccirillo,Not Used,No violations,2018
75,62,49.0,2018-00031430,1,29,12,41.83864125,434 Mt Pleasant Ave,-71.4532664496807,23,3,"Assault, Simple",2018-03-29 12:23:00,LPichs,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
76,63,50.0,2018-00031422,1,29,11,41.832407,1349 Chalkstone Ave,-71.45364599999998,58,3,Burglary,2018-03-29 11:58:00,JNezier,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018
77,64,51.0,2018-00031418,0,29,11,41.808877,190 Waverly St,-71.4358795,48,3,Lost Article,2018-03-29 11:48:00,Central Station,Not Used,No violations,2018
78,65,52.0,2018-00031391,0,29,9,41.7982039,25 Lenox Ave,-71.4158432,53,3,Lost Article,2018-03-29 09:53:00,Central Station,Not Used,No violations,2018
79,66,53.0,2018-00031388,0,29,9,41.829271399999996,100 Gaspee St,-71.41329920000003,33,3,Lost Article,2018-03-29 09:33:00,Central Station,Not Used,No violations,2018
80,67,54.0,2018-00031386,0,29,9,41.8199945,325 Washington St,-71.4207328,21,3,Article Found,2018-03-29 09:21:00,Central Station,Not Used,No violations,2018
81,68,55.0,2018-00031380,0,29,9,41.8199945,325 Washington St,-71.4207328,11,3,Article Found,2018-03-29 09:11:00,Central Station,Not Used,No violations,2018
82,69,56.0,2018-00031379,0,29,9,41.8404173,700 N  Main St,-71.4093496,10,3,Lost Article,2018-03-29 09:10:56,DHull,Not Used,No violations,2018
83,70,57.0,2018-00031377,1,29,9,41.8061917,306 Public St,-71.41099090000002,7,3,Larceny from Motor Vehicle,2018-03-29 09:07:00,PSalmons,11-41-1,LARCENY/U $1500 - FROM MV,2018
84,71,58.0,2018-00031373,0,29,8,41.7985073,278 Thurbers Ave,-71.4107325,41,3,Juvenile Matter,2018-03-29 08:41:00,PSalmons,Not Used,No violations,2018
85,72,59.0,2018-00031363,0,29,7,41.8199945,325 Washington St,-71.4207328,39,3,Lost Article,2018-03-29 07:39:00,Central Station,Not Used,No violations,2018
86,73,60.0,2018-00031352,1,29,5,41.77878370000001,6 Thurston St,-71.41848309999997,31,3,Larceny from Motor Vehicle,2018-03-29 05:31:00,MVoyer,11-41-1,LARCENY/U $1500 - FROM MV,2018
87,74,61.0,2018-00031340,1,29,2,41.811373480256904,111 Pocasset Ave,-71.4523165588018,47,3,"Assault, Simple",2018-03-29 02:47:00,JPerez,11-5-3,SIMPLE ASSAULT/BATTERY,2018
88,75,62.0,2018-00031340,1,29,2,41.811373480256904,111 Pocasset Ave,-71.4523165588018,47,3,RI Statute Violation,2018-03-29 02:47:00,JPerez,12-29-4,VIOLATION -NO CONTACT ORDER,2018
89,76,63.0,2018-00031339,0,29,2,41.8231409285714,79 Dorrance St,-71.4112212142857,22,3,License Violation,2018-03-29 02:22:55,ADaCruz,Not Used,No violations,2018
90,77,64.0,2018-00031334,1,29,2,41.800388,17 Van Buren St,-71.41576500000002,6,3,Burglary,2018-03-29 02:06:00,BMcParlin,11-8-5,B&E OTHER BUILDING W/CRIM INTENT,2018
91,78,65.0,2018-00031299,1,29,0,,Pennsylvania Ave At Prairie Ave,,4,3,Larceny from Motor Vehicle,2018-03-29 00:04:00,BMcParlin,11-41-1,LARCENY/O $1500 - FROM MV,2018
92,79,66.0,2018-00031292,1,28,23,,Gordon Ave At Colfax St,,47,3,"Assault, Simple",2018-03-28 23:47:00,PPotter,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
93,80,67.0,2018-00031292,1,28,23,,Gordon Ave At Colfax St,,47,3,RI Statute Violation,2018-03-28 23:47:00,PPotter,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018
94,81,68.0,2018-00031291,1,28,23,,Kossuth St At Julian St,,45,3,Warrant\Capias,2018-03-28 23:45:00,JNajarian,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018
95,82,69.0,2018-00031277,0,28,23,41.823116025,81 Washington St,-71.414538525,9,3,Missing Persons,2018-03-28 23:09:00,Central Station,Not Used,No violations,2018
96,83,70.0,2018-00031273,1,28,22,41.8422224,130 Cypress St,-71.402569,34,3,Vandalism,2018-03-28 22:34:00,PHourahan,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
97,84,71.0,2018-00031270,0,28,22,41.8334578,1537 Chalkstone Ave,-71.4600512,16,3,Request for Assistance,2018-03-28 22:16:00,CBrown,Not Used,No violations,2018
98,85,72.0,2018-00031269,1,28,22,,Gifford St At Plainfield St,,11,3,Larceny from Motor Vehicle,2018-03-28 22:11:00,MClary,11-41-1,LARCENY/U $1500 - FROM MV,2018
99,86,73.0,2018-00031268,1,28,22,41.78885579999999,81 Washington Ave,-71.392896,6,3,"Assault, Simple",2018-03-28 22:06:50,SSage,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
100,87,74.0,2018-00031262,1,28,21,,Providence Pl At Harris Ave,,58,3,Traffic Violation,2018-03-28 21:58:00,MTroia,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018
101,88,75.0,2018-00031262,1,28,21,,Providence Pl At Harris Ave,,58,3,Warrant\Capias,2018-03-28 21:58:00,MTroia,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018
102,89,76.0,2018-00031262,1,28,21,,Providence Pl At Harris Ave,,58,3,Warrant\Capias,2018-03-28 21:58:00,MTroia,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018
103,90,77.0,2018-00031254,0,28,21,41.821250899999995,136 Knight St,-71.43037629999998,35,3,Missing Persons,2018-03-28 21:35:00,Central Station,Not Used,No violations,2018
104,91,78.0,2018-00031253,0,28,21,41.834865,50 Obediah Brown Rd,-71.4593309,34,3,Lost Article,2018-03-28 21:34:00,Central Station,Not Used,No violations,2018
105,92,79.0,2018-00031251,1,28,21,41.8520561,164 Summit Ave,-71.3984379,23,3,"Assault, Aggravated",2018-03-28 21:23:00,JSherman,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018
106,93,80.0,2018-00031242,1,28,21,,Bucklin St At Whitmarsh St,,0,3,Vandalism,2018-03-28 21:00:00,PHourahan,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
107,94,81.0,2018-00031226,1,28,20,41.81612817016861,50 Laurel Hill Ave,-71.4557890049836,18,3,Vandalism,2018-03-28 20:18:00,LMarroquin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018
108,95,82.0,2018-00031224,1,28,20,41.8166844,160 Broad St,-71.4171575,11,3,Disorderly Conduct,2018-03-28 20:11:00,RByfield,11-45-1,DISORDERLY CONDUCT,2018
109,96,83.0,2018-00031220,1,28,20,,Cranston St At Superior St,,7,3,Drug Offenses,2018-03-28 20:07:00,RFoley,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018
110,97,84.0,2018-00031219,0,28,20,41.8135759,358 Broad St,-71.42127059999999,3,3,Medical Aid,2018-03-28 20:03:00,ASchneider,Not Used,No violations,2018
111,98,85.0,2018-00031215,1,28,19,41.827677,1 Providence Pl,-71.4166245,56,3,Tresspassing,2018-03-28 19:56:00,GKue,11-44-28,TRESPASS UPON PREMISES/PRIVATE REC. FACILITIES,2018
112,99,86.0,2018-00031207,1,28,19,41.80946270000001,9 Parkis Ave,-71.42201949999998,24,3,"Assault, Simple",2018-03-28 19:24:00,AGonzalez,11-5-3,SIMPLE ASSAULT/BATTERY,2018
113,100,87.0,2018-00031205,1,28,19,41.8176701,90 Tobey St,-71.43473859999997,16,3,Traffic Violation,2018-03-28 19:16:00,JLopes,31-3-1,Operation of Unregistered Vehicle,2018
114,101,88.0,2018-00031205,1,28,19,41.8176701,90 Tobey St,-71.43473859999997,16,3,Traffic Violation,2018-03-28 19:16:00,JLopes,31-14-2(A),Speeding 1-15 mph Over Speed Limit,2018
115,102,89.0,2018-00031205,1,28,19,41.8176701,90 Tobey St,-71.43473859999997,16,3,Traffic Violation,2018-03-28 19:16:00,JLopes,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018
116,103,90.0,2018-00031205,1,28,19,41.8176701,90 Tobey St,-71.43473859999997,16,3,Traffic Violation,2018-03-28 19:16:00,JLopes,31-47-9,Operating a MV without Evidence of Insurance,2018
117,104,91.0,2018-00031199,1,28,19,41.829362,100 Francis St,-71.41577099999998,0,3,"Larceny, Shoplifting",2018-03-28 19:00:00,GKue,11-41-20,SHOPLIFTING-FELONY - SHOPLIFTING,2018
118,105,92.0,2018-00031187,1,28,18,41.8073732,206 Elmwood Ave,-71.4247208,24,3,"Larceny, Other",2018-03-28 18:24:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018
119,106,93.0,2018-00031183,0,28,18,41.80828320000001,64 Dartmouth Ave,-71.4230918,19,3,Missing Persons,2018-03-28 18:19:00,Central Station,Not Used,No violations,2018
120,107,94.0,2018-00031181,1,28,18,41.812711877550996,179 Pearl St,-71.4169294897959,14,3,Municipal Code Violation,2018-03-28 18:14:00,ASchneider,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,2018
121,108,95.0,2018-00031176,0,28,17,41.8466249201299,14 Veazie St,-71.4300478931262,58,3,Juvenile Matter,2018-03-28 17:58:00,DHarrington,Not Used,No violations,2018
122,109,96.0,2018-00031162,1,28,17,41.8301968863636,471 Angell St,-71.3881139545455,26,3,Disorderly Conduct,2018-03-28 17:26:00,MCastillo,11-45-1,DISORDERLY CONDUCT,2018
123,110,97.0,2018-00031166,1,28,17,41.8190338333333,529 Hartford Ave,-71.4613585,23,3,"Assault, Simple",2018-03-28 17:23:00,GSion,11-5-3,SIMPLE ASSAULT OR BATTERY,2018
124,111,98.0,2018-00031149,0,28,16,41.8194601,550 Hartford Ave,-71.4647418,49,3,Request for Assistance,2018-03-28 16:49:00,Central Station,Not Used,No violations,2018
125,112,99.0,2018-00031147,1,28,16,41.8514108,509 Branch Ave,-71.4221158,32,3,Disorderly Conduct,2018-03-28 16:32:00,EBreault,11-45-1,DISORDERLY CONDUCT,2018
126,113,100.0,2018-00031144,0,28,16,41.8236164,Atwells Ave ,-71.4272333,26,3,Lost Article,2018-03-28 16:26:00,Central Station,Not Used,No violations,2018
127,114,101.0,2018-00031132,0,28,15,41.80505,275 Elmwood Ave,-71.4259245,59,3,Trespass,2018-03-28 15:59:00,TLambert,Not Used,No violations,2018
128,115,102.0,2018-00031127,1,28,15,41.821409700000004,85 Julian St,-71.4448124,36,3,Robbery,2018-03-28 15:36:00,MVittorioso,11-39-1,ROBBERY-2ND DEGREE,2018
129,116,103.0,2018-00031122,1,28,15,41.7985073,278 Thurbers Ave,-71.4107325,0,3,Disorderly Conduct,2018-03-28 15:00:23,JCotugno,11-45-1,DISORDERLY CONDUCT,2018
130,117,104.0,2018-00031109,1,28,15,41.8030519,29 Croyland Rd,-71.4148168,0,3,"Assault, Aggravated",2018-03-28 15:00:00,JBenros,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018
131,118,105.0,2018-00031113,1,28,14,41.80289000000001,43 Harriet St,-71.41301800000002,57,3,"Assault, Simple",2018-03-28 14:57:00,RByfield,11-5-3,SIMPLE ASSAULT/BATTERY,2018
132,119,106.0,2018-00031095,0,28,14,41.8105433,34 Hollis St,-71.4311008,36,3,Lost Article,2018-03-28 14:36:00,,Not Used,No violations,2018
133,120,107.0,2018-00031090,1,28,14,41.8076767,80 Wesleyan Ave,-71.42078149999998,12,3,Motor Vehicle Theft,2018-03-28 14:12:01,KWigginton,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018
134,121,108.0,2018-00031087,1,28,13,41.8236164,328 Atwells Ave,-71.4272333,57,3,Larceny from Building,2018-03-28 13:57:42,TGomes,11-41-1,LARCENY/U $1500 - FROM BLD,2018
135,122,109.0,2018-00031079,1,28,13,41.803373799999996,82 Mawney St,-71.4274709,43,3,"Assault, Simple",2018-03-28 13:43:00,ECraven,11-5-3,SIMPLE ASSAULT/BATTERY,2018
136,123,110.0,2018-00031073,1,28,13,41.806048,170 Benedict St,-71.43967959999998,25,3,Disorderly Conduct,2018-03-28 13:25:00,MMena-Torres,11-45-1,DISORDERLY CONDUCT,2018
