casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,hour,minute,day,lon,lat
2017-00112094,1,Huntington Ave At Dexter St,10,Traffic Violation,2017-10-25 18:30:00,KMatsumoto,31-14-2(A),Speeding 1-15 mph Over Speed Limit,2017,18,30,25,,
2017-00111911,1,457 Elmwood Ave,10,Burglary,2017-10-25 11:29:37,MPattie,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,11,29,25,-71.42627071169241,41.7991193753706
2017-00112014,0,279 Manton Ave,10,Lost Article,2017-10-25 16:05:00,Central Station,Not Used,No violations,2017,16,5,25,-71.4493069,41.8223162
2018-00000798,1,42 Hidden St,1,"Larceny, Other",2018-01-03 11:09:52,RKing,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,11,9,3,-71.40599370000002,41.83494279999999
2017-00123237,1,Broad St At Gallup St,11,Traffic Violation,2017-11-23 01:41:00,JSmith,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,1,41,23,,
2017-00123026,1,555 Dexter St,11,Burglary,2017-11-22 14:00:56,JDalton,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2017,14,0,22,-71.4316373,41.8011544
2017-00130762,1,226 Academy ,12,Traffic Violation,2017-12-14 01:12:00,EEspinal,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2017,1,12,14,-71.44438000000002,41.830751
2018-00000913,1,91 Fricker St,1,Disorderly Conduct,2018-01-03 16:42:00,BRamos,11-45-1,DISORDERLY CONDUCT,2018,16,42,3,-71.42162469823201,41.8162562743792
2017-00135925,1,160 Broad St,12,"Larceny, Purse-snatching",2017-12-29 06:08:35,JLeroux,11-41-7,LARCENY FROM THE PERSON - PURSE SNATCHING,2017,6,8,29,-71.4171575,41.8166844
2017-00135925,1,160 Broad St,12,"Larceny, Purse-snatching",2017-12-29 06:08:35,JLeroux,11-41-7,LARCENY FROM THE PERSON - PURSE SNATCHING,2017,6,8,29,-71.4171575,41.8166844
2017-00135925,1,160 Broad St,12,"Larceny, Purse-snatching",2017-12-29 06:08:35,JLeroux,11-41-7,LARCENY FROM THE PERSON - PURSE SNATCHING,2017,6,8,29,-71.4171575,41.8166844
2017-00130758,1,319 Pocasset Ave,12,Burglary,2017-12-14 00:47:00,MVoyer,11-8-5,B&E OTHER BUILDING W/CRIM INTENT,2017,0,47,14,-71.4576787,41.8060418
2017-00112085,0,61 Dartmouth Ave,10,Request for Assistance,2017-10-25 18:35:00,JButen,Not Used,No violations,2017,18,35,25,-71.4229897,41.8086683
2017-00119619,1,325 Washington St,11,Warrant\Capias,2017-11-13 17:53:00,BMurphy,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,17,53,13,-71.4207328,41.8199945
2017-00111968,1,37 William Ellery Pl,10,"Assault, Simple",2017-10-25 14:06:00,JAndrade,11-5-3,SIMPLE ASSAULT/BATTERY,2017,14,6,25,-71.4061982803385,41.838021192146286
2017-00130633,1,N  Main St At Cemetery St,12,Traffic Violation,2017-12-13 17:36:00,DCastigliego,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,17,36,13,,
2018-00001059,0,17 Frederick St,1,Article Found,2018-01-04 00:09:00,RMalloy,Not Used,No violations,2018,0,9,4,-71.4286834,41.835095
2017-00130759,1,Hawkins St At Appian St,12,Traffic Violation,2017-12-14 00:58:00,RMalloy,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,0,58,14,,
2017-00116291,1,32 Edward St,11,Motor Vehicle Theft,2017-11-04 15:29:00,DImpagliazzo,11-41-1,LARCENY/O $1500 - AUTO THEFT,2017,15,29,4,-71.4138938,41.8526989
2017-00130524,0,71 Updike St,12,Request for Assistance,2017-12-13 12:45:53,LPelaez,Not Used,No violations,2017,12,45,13,-71.4226118,41.8044262
2017-00127851,1,71 Bradford St,12,Larceny from Motor Vehicle,2017-12-05 22:09:00,MClary,11-41-1,LARCENY/O $1500 - FROM MV,2017,22,9,5,-71.42208740000002,41.8227726
2018-00020156,1,Valley St At Atwells Ave,2,"Fraud, Swindle",2018-02-25 18:40:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,18,40,25,,
2018-00020038,1,825 Chalkstone Ave,2,"Assault, Aggravated",2018-02-25 09:11:00,AFrancis,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018,9,11,25,-71.43507659999999,41.8346874
2018-00020181,1,99 11Th St,2,Disorderly Conduct,2018-02-25 19:57:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018,19,57,25,-71.3944817835937,41.8546192234394
2017-00126993,1,43 Tuxedo Ave,12,"Larceny, Other",2017-12-03 13:49:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,13,49,3,-71.4392052,41.8229733
2017-00119723,1,10 Arch St,11,"Assault, Simple",2017-11-14 00:54:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,0,54,14,-71.42333149999997,41.8118815
2017-00122975,1,1 Sanford St,11,Burglary,2017-11-22 11:31:13,JKane,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,11,31,22,-71.460832,41.812054
2018-00008148,0,124 Federal St,1,Article Found,2018-01-24 00:19:00,Central Station,Not Used,No violations,2018,0,19,24,-71.4254739,41.82225800000001
2018-00020201,1,Whipple St At Admiral St,2,Drug Offenses,2018-02-25 21:39:00,TMiller,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2018,21,39,25,,
2017-00122955,1,10  At Westminster St,11,Traffic Violation,2017-11-22 10:38:00,KMatsumoto,31-14-3,Conditions Requiring Reduced Speed,2017,10,38,22,-71.41005246727691,41.8247252354316
2017-00123220,1,800 Douglas Ave,11,Vandalism,2017-11-23 00:56:00,JPineau,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,0,56,23,-71.43458869999998,41.8506516
2018-00007915,1,638 Charles St,1,Motor Vehicle Theft,2018-01-23 12:31:00,MMoonan,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,12,31,23,-71.42080109999998,41.85409470000001
2017-00500153,1,699 Hartford Ave,10,"Fraud, Credit Card",2017-10-25 16:10:34,CLourenco,11-49-4,FRAUDULENT USE OF CREDIT CARDS,2017,16,10,25,-71.4684139,41.82094489999999
2017-00112092,0,83 Point St,10,Request for Assistance,2017-10-25 19:02:21,DBrien,Not Used,No violations,2017,19,2,25,-71.40702370000002,41.8169015
2018-00007923,1,51 Silver Spring St,1,"Larceny, Shoplifting",2018-01-23 13:05:00,MMoonan,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,13,5,23,-71.416108,41.8455436
2017-00122933,0,24 Violet St,11,Request for Assistance,2017-11-22 09:53:06,EPedchenko,Not Used,No violations,2017,9,53,22,-71.4267122,41.8340445
2017-00500377,1,48 June St,12,Vandalism,2017-12-12 16:26:10,CSical,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,16,26,12,-71.4242598571429,41.842723
2017-00130505,1,161 Petteys Ave,12,RI Statute Violation,2017-12-13 11:48:23,KLafazia,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2017,11,48,13,-71.4611723,41.8174757
2018-00025957,0,97 Althea St,3,Request for Assistance,2018-03-13 15:27:00,LPelaez,Not Used,No violations,2018,15,27,13,-71.4325937,41.80728720000001
2018-00014107,1,187 Allston St,2,Larceny from Motor Vehicle,2018-02-09 09:31:00,IYousif,11-41-1,LARCENY/U $1500 - FROM MV,2018,9,31,9,-71.43483499999998,41.8302441
2017-00130444,1,25 Melissa St,12,Receiving Stolen Property,2017-12-13 09:16:49,KLafazia,31-9-2,Possession of Stolen Vehicle or Parts,2017,9,16,13,-71.460161,41.8196989
2018-00031113,1,43 Harriet St,3,"Assault, Simple",2018-03-28 14:57:00,RByfield,11-5-3,SIMPLE ASSAULT/BATTERY,2018,14,57,28,-71.41301800000002,41.80289000000001
2017-00112094,1,Huntington Ave At Dexter St,10,Traffic Violation,2017-10-25 18:30:00,KMatsumoto,31-15-4,Overtaking on Left,2017,18,30,25,,
2017-00112082,1,194 Douglas Ave,10,Traffic Violation,2017-10-25 18:35:00,KRichards,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,18,35,25,-71.422516,41.837175
2018-00020217,1,59 Eaton St,2,Municipal Code Violation,2018-02-25 23:13:00,RJoseph,Sec. 16-93.  ,"Noise Control - Radios, television sets, and similar devices.",2018,23,13,25,-71.42961290000002,41.8413384
2017-00119360,1,Empire St At Fountain St,11,Larceny from Motor Vehicle,2017-11-12 21:23:00,NManfredi,11-41-1,LARCENY/U $1500 - FROM MV,2017,21,23,12,,
2018-00008066,1,Michigan Ave At Vermont Ave,1,Murder\Manslaughter,2018-01-23 19:20:00,DO'Connell,11-23-1,MURDER-1ST DEGREE,2018,19,20,23,,
2017-00112094,1,Huntington Ave At Dexter St,10,Traffic Violation,2017-10-25 18:30:00,KMatsumoto,31-22-22 (b),No Chile Restraint/Seat Belt/Not B Seat,2017,18,30,25,,
2018-00020283,1,Memorial Blvd At Exchange St,2,Warrant\Capias,2018-02-26 03:44:00,RCriner,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,3,44,26,,
2018-00020105,1,Wabun Ave At Nelson St,2,Traffic Violation,2018-02-25 15:44:00,MTroia,31-3-1,Operation of Unregistered Vehicle,2018,15,44,25,,
2018-00019327,0,369 Blackstone St,2,Request for Assistance,2018-02-23 14:00:30,TRichards,Not Used,No violations,2018,14,0,23,-71.4190526,41.8099536
2018-00000960,1,Westminster St At Bridgham St,1,Traffic Violation,2018-01-03 18:33:00,JLopes,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,18,33,3,,
2018-00014766,1,25 Harwol Ct,2,Warrant\Capias,2018-02-10 23:41:00,RMalloy,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,23,41,10,-71.433848,41.852056
2017-00130609,1,1397 Chalkstone Ave,12,Disorderly Conduct,2017-12-13 16:52:00,Central Station,11-45-1,DISORDERLY CONDUCT,2017,16,52,13,-71.4554381,41.83236760000001
2017-00123150,1,654 Elmwood Ave,11,"Assault, Simple",2017-11-22 20:44:00,SMurnighan,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,20,44,22,-71.4238266,41.7943336
2018-00031207,1,9 Parkis Ave,3,"Assault, Simple",2018-03-28 19:24:00,AGonzalez,11-5-3,SIMPLE ASSAULT/BATTERY,2018,19,24,28,-71.42201949999998,41.80946270000001
2017-00130549,0,71 Glenham St,12,Lost Article,2017-12-13 14:05:00,LPelaez,Not Used,No violations,2017,14,5,13,-71.41767994366201,41.8055852112676
2017-00130635,1,Webster Ave At Magnolia St,12,Traffic Violation,2017-12-13 17:39:00,GValletta,31-8-1,Operation of Vehicle Without Evidence of Registration,2017,17,39,13,,
2017-00500381,1,51 Prospect St,12,Vandalism,2017-12-11 11:38:24,CSical,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,11,38,11,-71.4045485,41.8279732
2018-00014744,0,722 Union Ave,2,Juvenile Matter,2018-02-10 22:52:00,JPerez,Not Used,No violations,2018,22,52,10,-71.462746,41.8084718
2017-00111954,1,425 Branch Ave,10,"Assault, Simple",2017-10-25 13:40:00,JRobles,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,13,40,25,-71.42178529648109,41.85115073368351
2017-00123131,1,65 Kossuth St,11,"Assault, Simple",2017-11-22 19:50:00,MCamardo,11-5-3,SIMPLE ASSAULT/BATTERY,2017,19,50,22,-71.4469595263158,41.82230321052629
2017-00111893,1,62 Glover St,10,RI Statute Violation,2017-10-25 10:15:00,JO,15-15-3,VIOLATION OF PROTECTIVE ORDER,2017,10,15,25,-71.44714809999998,41.8350305
2017-00111920,1,324 Hope St,10,"Assault, Simple",2017-10-25 12:04:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,12,4,25,-71.4032561,41.8344795
2017-00130481,1,415 Smithfield Ave,12,Disorderly Conduct,2017-12-13 11:26:00,Central Station,11-45-1,DISORDERLY CONDUCT,2017,11,26,13,-71.4138747368421,41.8721534736842
2017-00122871,0,45 Blaine St,11,Missing Persons,2017-11-22 06:18:00,EEspinal,Not Used,No violations,2017,6,18,22,-71.41508990000001,41.8550203
2017-00107095,1,41 Pinehurst Ave,10,Larceny from Motor Vehicle,2017-10-13 01:28:00,KRichards,11-41-1,LARCENY/O $1500 - FROM MV,2017,1,28,13,-71.4324363899594,41.838390717072
2017-00121447,1,133 Wesleyan Ave,11,"Larceny, Other",2017-11-18 14:07:00,ITavarez,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2017,14,7,18,-71.42297559999999,41.8080108
2018-00007009,1,Carpenter St  ,1,Motor Vehicle Theft,2018-01-20 18:59:00,TSavard,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,18,59,20,-71.4218905,41.82062670000001
2018-00019735,1,548 Atwells Ave,2,"Larceny, Other",2018-02-24 13:29:00,AFrancis,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,13,29,24,-71.43477705903379,41.8243111068188
2018-00020192,1,19 Barry Rd,2,RI Statute Violation,2018-02-25 20:48:00,DPfeiffer,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,2018,20,48,25,-71.4520772591722,41.8179281840026
2017-00125963,1,55 Dorrance St,11,Larceny from Motor Vehicle,2017-11-30 19:59:00,NManfredi,11-41-1,LARCENY/U $1500 - FROM MV,2017,19,59,30,-71.4112790714286,41.8231876428571
2018-00014662,1,Stokes St At Dike St,2,Vandalism,2018-02-10 18:03:00,MCamardo,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,18,3,10,,
2018-00007928,1,29 Massie Ave,1,Larceny from Motor Vehicle,2018-01-23 13:17:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2018,13,17,23,-71.4170944,41.80139929999999
2017-00123111,1,57 Fairmount Ave,11,Warrant\Capias,2017-11-22 18:31:00,RCarlin,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,18,31,22,-71.4495225,41.8265426
2017-00130692,1,Julian St At Kossuth St,12,Traffic Violation,2017-12-13 20:36:00,MSepe,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2017,20,36,13,,
2018-00020280,1,59 Lowell Ave,2,Traffic Violation,2018-02-26 03:13:00,MPlace,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,3,13,26,-71.4565265641058,41.8110602012016
2018-00014786,0,66 Stadden St,2,Request for Assistance,2018-02-11 00:35:00,EEspinal,Not Used,No violations,2018,0,35,11,-71.4282296622711,41.7882502657081
2018-00020203,0,343 Broad St,2,Stolen Vehicle\Recovered,2018-02-25 21:42:00,CBrown,Not Used,No violations,2018,21,42,25,-71.4221319,41.8138466
2017-00123220,1,800 Douglas Ave,11,"Assault, Simple",2017-11-23 00:56:00,JPineau,11-5-3,SIMPLE ASSAULT/BATTERY,2017,0,56,23,-71.43458869999998,41.8506516
2017-00112175,1,21 Vandewater St,10,Warrant\Capias,2017-10-25 23:20:00,SCampbell,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2017,23,20,25,-71.4325507,41.8501346
2017-00130495,1,434 Mt Pleasant Ave,12,Vandalism,2017-12-13 10:00:00,LPichs,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,10,0,13,-71.4532664496807,41.83864125
2018-00000891,1,Messer St At Westminster St,1,Traffic Violation,2018-01-03 15:41:00,JLopes,31-8-2,Operation of MV When Registration Canceled,2018,15,41,3,,
2017-00123268,1,Anthony Ave At Buffalo Ct,11,Drug Offenses,2017-11-23 03:46:00,MJennette,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2017,3,46,23,,
2018-00000913,1,91 Fricker St,1,"Assault, Simple",2018-01-03 16:42:00,BRamos,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,16,42,3,-71.42162469823201,41.8162562743792
2018-00008096,0,138 Knight St,1,Missing Persons,2018-01-23 21:04:00,Central Station,Not Used,No violations,2018,21,4,23,-71.4305430108106,41.82121982579221
2017-00111976,1,122 Manton Ave,10,Burglary,2017-10-25 14:44:00,KMelfi,11-8-5.1,B&E BUILDING OR SHIP DURING DAYTIME,2017,14,44,25,-71.44677110526321,41.819876552631605
2017-00123152,1,Daboll St At Dexter St,11,Vandalism,2017-11-22 20:54:00,YGonzalez,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,20,54,22,,
2017-00130635,1,Webster Ave At Magnolia St,12,Traffic Violation,2017-12-13 17:39:00,GValletta,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,17,39,13,,
2017-00123055,0,65 Waverly St,11,Juvenile Matter,2017-11-22 15:30:00,GValletta,Not Used,No violations,2017,15,30,22,-71.431156,41.8076257
2017-00122964,0,41 Sibley St ,11,Property Damage,2017-11-22 11:06:59,ZSilbert,Not Used,No violations,2017,11,6,22,-71.4293990646252,41.792548167323105
2017-00123012,0,11 Dorrance St,11,Request for Assistance,2017-11-22 13:41:46,JHenderson,Not Used,No violations,2017,13,41,22,-71.4134483,41.8243881
2017-00130591,1,130 Morris Ave,12,"Fraud, Swindle",2017-12-13 15:53:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,15,53,13,-71.3982547,41.8366494
2017-00111981,1,935 Manton Ave,10,"Larceny, Shoplifting",2017-10-25 14:54:00,RCarlin,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,14,54,25,-71.4435752,41.81715429999999
2018-00020102,1,1473 Broad St,2,DUI,2018-02-25 15:20:00,JLanier,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,15,20,25,-71.40292120000002,41.7871231
2018-00020196,1,114 Valley St,2,Motor Vehicle Theft,2018-02-25 21:05:00,GSion,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,21,5,25,-71.44062290000002,41.8200391
2018-00020101,1,57 Eddy St,2,"Assault, Simple",2018-02-25 15:13:00,MGoddard,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,15,13,25,-71.4132788,41.823465
2018-00007838,1,160 Broad St,1,Weapons,2018-01-23 06:51:00,ITavarez,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2018,6,51,23,-71.4171575,41.8166844
2018-00007838,1,160 Broad St,1,Weapons,2018-01-23 06:51:00,ITavarez,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2018,6,51,23,-71.4171575,41.8166844
2018-00007838,1,160 Broad St,1,Weapons,2018-01-23 06:51:00,ITavarez,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2018,6,51,23,-71.4171575,41.8166844
2018-00020206,1,387 Charles St,2,Traffic Violation,2018-02-25 22:00:00,TMiller,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2018,22,0,25,-71.4174252,41.843787
2017-00123245,1,Admiralatgrape ,11,Traffic Violation,2017-11-23 02:04:00,RMalloy,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,2,4,23,,
2017-00123253,1,79 Washington St,11,Drug Offenses,2017-11-23 02:25:00,LSan Lucas,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2017,2,25,23,-71.414535575,41.823118075
2018-00016119,1,23 Amory St,2,Larceny from Motor Vehicle,2018-02-14 17:57:00,EBreault,11-41-1,LARCENY/U $1500 - FROM MV,2018,17,57,14,-71.4145625,41.85431
2018-00031144,0,Atwells Ave ,3,Lost Article,2018-03-28 16:26:00,Central Station,Not Used,No violations,2018,16,26,28,-71.4272333,41.8236164
2017-00123111,1,57 Fairmount Ave,11,RI Statute Violation,2017-11-22 18:31:00,RCarlin,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,18,31,22,-71.4495225,41.8265426
2017-00122955,1,10  At Westminster St,11,Traffic Violation,2017-11-22 10:38:00,KMatsumoto,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,10,38,22,-71.41005246727691,41.8247252354316
2018-00020176,1,132 Humboldt Ave,2,"Larceny, Other",2018-02-25 19:36:00,NManfredi,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,19,36,25,-71.3877286,41.8326209
2018-00020200,0,110 Progress Ave,2,Request for Assistance,2018-02-25 21:29:10,MDuffy,Not Used,No violations,2018,21,29,25,-71.44701620000002,41.8089083
2018-00020180,1,453 Cranston St,2,Traffic Violation,2018-02-25 19:45:00,JSalmeron,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2018,19,45,25,-71.4325505384615,41.810629923076895
2017-00111870,1,74 Beaufort St,10,Vandalism,2017-10-25 08:47:00,MMoonan,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,8,47,25,-71.447096,41.8303948
2017-00111843,1,Union Ave At Ricom Way,10,Drug Offenses,2017-10-25 05:42:00,GGrimes,21-28-4.01-C1B,POSSESSION OF MARIJUANA-1st OFFENSE,2017,5,42,25,,
2018-00031147,1,509 Branch Ave,3,Disorderly Conduct,2018-03-28 16:32:00,EBreault,11-45-1,DISORDERLY CONDUCT,2018,16,32,28,-71.4221158,41.8514108
2017-00112184,1,135 Carpenter St,10,Vandalism,2017-10-26 00:16:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,0,16,26,-71.4233276,41.820167700000006
2018-00000778,1,26 Anchor St,1,Vandalism,2018-01-03 09:59:00,CRodriguez,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,9,59,3,-71.427761,41.8478254
2018-00020241,1,21 Middleton St,2,RI Statute Violation,2018-02-26 00:25:00,PCaminero,12-29-4,VIOLATION -NO CONTACT ORDER,2018,0,25,26,-71.4669756255386,41.8204462506056
2018-00006665,0,601 N  Main St,1,Request for Assistance,2018-01-19 19:24:40,WMann,Not Used,No violations,2018,19,24,19,-71.40909,41.838457
2017-00112178,1,754 Broad St,10,RI Statute Violation,2017-10-25 23:36:00,JGutierrez,11-59-3,VIOLATION OF RESTRAINING ORDER,2017,23,36,25,-71.4187249,41.8034746
2018-00000817,1,522 River Ave,1,"Larceny, Other",2018-01-03 11:55:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,11,55,3,-71.44080500000003,41.8423886
2018-00031270,0,1537 Chalkstone Ave,3,Request for Assistance,2018-03-28 22:16:00,CBrown,Not Used,No violations,2018,22,16,28,-71.4600512,41.8334578
2018-00007997,1,36 Ashton St,1,Larceny from Motor Vehicle,2018-01-23 16:45:00,Central Station,11-41-1,LARCENY/O $1500 - FROM MV,2018,16,45,23,-71.4153468,41.84905850000001
2018-00020066,1,Blackstone Blvd At Alfred Stone Rd,2,Motor Vehicle Theft,2018-02-25 11:54:48,WMann,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,11,54,25,,
2018-00007999,1,325 Washington St,1,"Fraud, Swindle",2018-01-23 16:47:00,KGarcia,11-41-4,OBT/ MONEY-FALSE PRETENSE/PERSONATION/0 $1500 - FALSE PRETENSE,2018,16,47,23,-71.4207328,41.8199945
2018-00020130,1,Westminster St At Hammond St,2,Traffic Violation,2018-02-25 17:03:00,DJohnson,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,17,3,25,,
2018-00020049,1,216 Sunbury St,2,Motor Vehicle Theft,2018-02-25 10:46:00,EFernandez,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,10,46,25,-71.43854809999998,41.8527398
2018-00020174,1,Hartford Ave At 6 ,2,DUI,2018-02-25 19:37:00,CVingi,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,19,37,25,-71.4647418,41.8194601
2018-00019441,1,232 Althea St,2,DUI,2018-02-23 19:05:00,CVingi,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,19,5,23,-71.4372414425211,41.8087059647802
